OBJECTID	tract	SHAPE_Length	SHAPE_Area	Tract_1	Population
215	6037555103	0.04105	0.000096	6037555103	4850
216	6037570001	0.053153	0.000149	6037570001	4453
217	6037570002	0.035053	0.000077	6037570002	2554
218	6037570003	0.043676	0.000113	6037570003	4265
219	6037570100	0.045039	0.000112	6037570100	2706
220	6037570202	0.060874	0.000164	6037570202	6212
221	6037570203	0.04917	0.000126	6037570203	4052
222	6037570204	0.030047	0.000053	6037570204	3984
223	6037570301	0.053749	0.000114	6037570301	6790
224	6037570303	0.036126	0.00006	6037570303	3867
225	6037570304	0.041546	0.000054	6037570304	4824
226	6037570401	0.055808	0.00014	6037570401	8235
227	6037570402	0.063836	0.000153	6037570402	3410
228	6037570501	0.050254	0.000143	6037570501	7282
229	6037570502	0.06007	0.000196	6037570502	6338
230	6037570601	0.035525	0.000072	6037570601	5159
231	6037570602	0.041391	0.0001	6037570602	6382
232	6037570603	0.037313	0.000068	6037570603	4776
233	6037570701	0.064087	0.000171	6037570701	6705
234	6037570702	0.034349	0.000068	6037570702	2306
235	6037570800	0.061403	0.00023	6037570800	5464
236	6059099601	0.079328	0.000318	6059099601	7336
237	6059099602	0.04702	0.000129	6059099602	3211
238	6059099604	0.046551	0.000125	6059099604	3735
239	6059099605	0.064008	0.00019	6059099605	3723
240	6059099701	0.066607	0.00019	6059099701	5836
241	6059099702	0.066885	0.00019	6059099702	8206
242	6059099703	0.066787	0.000186	6059099703	4614
243	6059099801	0.062581	0.000144	6059099801	5564
244	6059099802	0.040596	0.000098	6059099802	4057
245	6059099803	0.049165	0.000126	6059099803	5381
246	6059099902	0.046544	0.000134	6059099902	4638
247	6059099903	0.048272	0.000135	6059099903	5608
248	6059099904	0.047233	0.00013	6059099904	6801
249	6059099905	0.061749	0.000103	6059099905	3272
250	6059099906	0.059248	0.000167	6059099906	4788
251	6059110001	0.045416	0.000116	6059110001	4546
252	6059110003	0.049772	0.000126	6059110003	3175
253	6059110004	0.06871	0.000175	6059110004	4661
254	6059110005	0.041964	0.000096	6059110005	3159
255	6059110006	0.048278	0.000128	6059110006	2898
256	6059110010	0.049929	0.000131	6059110010	4594
257	6059110011	0.049426	0.000126	6059110011	2748
258	6059110014	0.042025	0.000062	6059110014	4673
259	6059110015	0.12834	0.000709	6059110015	3536
260	6059110104	0.058947	0.000174	6059110104	5765
261	6059110106	0.04905	0.000077	6059110106	3611
262	6059110108	0.062765	0.000204	6059110108	2766
263	6059110109	0.04929	0.000126	6059110109	4680
264	6059110110	0.063947	0.00019	6059110110	5704
265	6059110111	0.07171	0.000216	6059110111	5265
266	6059110113	0.119175	0.00037	6059110113	2437
267	6059110114	0.066169	0.000149	6059110114	4837
268	6059110117	0.053224	0.000131	6059110117	5721
269	6059110118	0.031918	0.000063	6059110118	2791
270	6059110201	0.066948	0.000189	6059110201	7006
271	6065045107	0.116826	0.000473	6065045107	5292
272	6065045108	0.084623	0.000259	6065045108	5834
273	6065045109	0.047996	0.000141	6065045109	3756
274	6065045110	0.055389	0.000161	6065045110	4764
275	6065045111	0.202216	0.001362	6065045111	6338
276	6065045112	0.152997	0.000679	6065045112	3489
277	6065045113	0.93196	0.014417	6065045113	3322
278	6065045203	0.183626	0.001189	6065045203	5258
279	6065045204	0.104772	0.000549	6065045204	5876
280	6065045205	0.139261	0.00112	6065045205	9091
281	6065045206	0.635426	0.013552	6065045206	9865
282	6065045207	0.060075	0.000195	6065045207	4452
283	6065045208	0.132318	0.000645	6065045208	4503
284	6065045209	0.069858	0.000192	6065045209	5487
285	6065045301	0.184828	0.000958	6065045301	4213
286	6065045302	0.052235	0.000159	6065045302	4705
287	6065045400	0.091185	0.000378	6065045400	7279
288	6065045501	0.064911	0.000225	6065045501	5177
289	6065045502	0.051794	0.000158	6065045502	4239
290	6065045603	0.699357	0.012933	6065045603	9505
291	6065045604	1.112877	0.041198	6065045604	10064
292	6065045605	0.823528	0.018134	6065045605	7195
293	6037238000	0.063966	0.000161	6037238000	5963
294	6037262500	0.267107	0.002148	6037262500	3523
295	6037264302	0.069896	0.000167	6037264302	5375
296	6037267200	0.040627	0.000093	6037267200	5455
297	6037267501	0.027459	0.000043	6037267501	5307
298	6037269000	0.090427	0.000212	6037269000	4785
299	6037269600	0.032435	0.00006	6037269600	6761
300	6037270200	0.032055	0.000047	6037270200	2850
301	6037271100	0.046165	0.000111	6037271100	3721
302	6037271300	0.041917	0.000087	6037271300	3004
303	6037271400	0.044262	0.000112	6037271400	3299
304	6037271801	0.032677	0.00006	6037271801	4860
305	6037272200	0.036317	0.000054	6037272200	6100
306	6073000700	0.034261	0.000072	6073000700	3414
307	6073001000	0.040196	0.000081	6073001000	4948
308	6073001700	0.034053	0.000062	6073001700	4915
309	6073002401	0.033263	0.000061	6073002401	5467
310	6073002601	0.036441	0.000082	6073002601	6293
311	6073003401	0.079658	0.00027	6073003401	5890
312	6073003603	0.034333	0.000065	6073003603	4192
313	6073003902	0.043159	0.000109	6073003902	5078
314	6073004000	0.041791	0.000085	6073004000	5036
315	6073004200	0.067005	0.000246	6073004200	5708
316	6073005100	0.058983	0.000149	6073005100	3360
317	6073006000	0.040427	0.000095	6073006000	3251
318	6073006300	0.078397	0.000197	6073006300	4279
319	6073006900	0.055668	0.000174	6073006900	5146
320	6073007302	0.036704	0.000078	6073007302	2087
321	6073007600	0.654723	0.000878	6073007600	6245
322	6073008311	0.080213	0.000233	6073008311	2809
323	6073008800	0.055629	0.00014	6073008800	6762
324	6073009102	0.050718	0.000096	6073009102	3269
325	6073009107	0.044366	0.000081	6073009107	3306
326	6073009202	0.089166	0.000369	6073009202	3187
327	6073009603	0.05172	0.000156	6073009603	4478
328	6071005100	0.111394	0.000489	6071005100	7228
329	6071005200	0.070134	0.000193	6071005200	3811
330	6071005300	0.064244	0.000168	6071005300	4844
331	6071005400	0.063244	0.000173	6071005400	5516
332	6071005500	0.062732	0.000175	6071005500	7600
333	6071005600	0.066153	0.000177	6071005600	6336
334	6071005700	0.047584	0.000124	6071005700	1188
335	6071005800	0.052355	0.000164	6071005800	3538
336	6071005900	0.067637	0.000216	6071005900	1189
337	6071006000	0.112538	0.000713	6071006000	1523
338	6071006100	0.109662	0.000436	6071006100	7947
339	6071006201	0.050247	0.000155	6071006201	3202
340	6071006202	0.062576	0.000239	6071006202	8075
341	6071006301	0.087352	0.000254	6071006301	5069
342	6071006302	0.086804	0.000254	6071006302	7438
343	6071006401	0.057833	0.000195	6071006401	2585
344	6071006402	0.056861	0.000194	6071006402	4620
345	6071006500	0.104033	0.000377	6071006500	6688
346	6071006600	0.103155	0.000482	6071006600	12546
347	6071006700	0.062105	0.000185	6071006700	4065
348	6071006800	0.03201	0.00006	6071006800	889
349	6071006900	0.088473	0.000338	6071006900	2929
350	6065042719	0.356354	0.002678	6065042719	3641
351	6065042720	0.294692	0.003466	6065042720	2996
352	6065042721	0.444039	0.007274	6065042721	4751
353	6065042722	0.333413	0.00359	6065042722	8339
354	6065042723	0.293224	0.003406	6065042723	4347
355	6065042800	0.131603	0.000529	6065042800	6451
356	6065042901	0.42535	0.002743	6065042901	5289
357	6065042902	0.373621	0.004247	6065042902	3829
358	6065042903	0.355883	0.004314	6065042903	3929
359	6065042904	0.248372	0.00229	6065042904	6877
360	6065043001	0.261225	0.00231	6065043001	3873
361	6065043002	0.539516	0.004575	6065043002	8317
362	6065043003	0.060632	0.000169	6065043003	6122
363	6029004500	2.393922	0.233361	6029004500	3418
364	6029004601	0.065001	0.000261	6029004601	454
365	6029004602	1.403332	0.054239	6029004602	10858
366	6029004700	0.166121	0.001567	6029004700	10135
367	6029004800	0.110177	0.000473	6029004800	7939
368	6029004901	0.050664	0.000149	6029004901	5552
369	6029004902	0.066898	0.000263	6029004902	7892
370	6029005000	0.156748	0.001132	6029005000	9561
371	6029005103	0.685524	0.018891	6029005103	2309
372	6029005104	0.678235	0.010246	6029005104	1124
373	6029005201	3.430956	0.247346	6029005201	5644
374	6029005202	3.142106	0.186407	6029005202	9917
375	6029005300	0.819177	0.028584	6029005300	1873
376	6029005401	0.108181	0.000533	6029005401	5567
377	6029005402	0.100339	0.000521	6029005402	4865
378	6029005403	0.129562	0.001027	6029005403	6867
379	6029005404	0.140435	0.001079	6029005404	6753
380	6029005501	1.533697	0.07128	6029005501	5685
381	6029005503	3.885867	0.14897	6029005503	2509
382	6029005504	1.046236	0.052378	6029005504	75
383	6029005505	0.69586	0.019754	6029005505	8248
384	6029005506	1.297319	0.040032	6029005506	4885
385	6083000102	0.088725	0.000236	6083000102	5315
386	6083000300	0.05342	0.000148	6083000300	7086
387	6083000501	0.2754	0.002334	6083000501	3568
388	6071000103	0.084641	0.000331	6071000103	4779
389	6071000104	0.121599	0.000434	6071000104	6560
390	6071000105	0.10976	0.000531	6071000105	6095
391	6071000106	0.192878	0.001909	6071000106	11989
392	6071000107	0.060818	0.000148	6071000107	2982
393	6071000108	0.07924	0.000277	6071000108	4905
394	6071000109	0.076454	0.000321	6071000109	7093
395	6071000110	0.095347	0.000538	6071000110	10407
396	6071000111	0.200084	0.00105	6071000111	2081
397	6071000112	0.420341	0.006561	6071000112	10872
398	6071000201	0.077528	0.000314	6071000201	4560
399	6071000202	0.101497	0.000549	6071000202	17494
400	6071000301	0.08944	0.000261	6071000301	7938
401	6071000303	0.058378	0.000202	6071000303	6494
402	6071000304	0.077417	0.00032	6071000304	4297
403	6071000401	0.128198	0.000587	6071000401	6418
404	6071000402	0.118005	0.000608	6071000402	8383
405	6071000500	0.19513	0.001451	6071000500	17269
406	6071000601	0.090889	0.000448	6071000601	11026
407	6071000602	0.076164	0.000216	6071000602	8710
408	6071000700	0.129582	0.000995	6071000700	7658
409	6071000804	0.119041	0.000366	6071000804	3124
410	6071002201	0.086562	0.000313	6071002201	10842
411	6071002203	0.349054	0.003279	6071002203	4795
412	6071002204	0.216455	0.001903	6071002204	5244
413	6071002301	0.110432	0.000549	6071002301	7006
414	6071002302	0.105152	0.000634	6071002302	8520
415	6071002303	0.167174	0.001491	6071002303	12626
416	6071002401	0.078772	0.000381	6071002401	7453
417	6071002402	0.078304	0.00038	6071002402	7164
418	6071002501	0.106853	0.000389	6071002501	5861
419	6071002502	0.064248	0.000255	6071002502	6724
420	6071002601	0.25513	0.002097	6071002601	5030
421	6071002602	0.062913	0.000199	6071002602	7409
422	6071002603	0.176573	0.000845	6071002603	17896
423	6071007407	0.049296	0.000125	6071007407	3345
424	6071007408	0.049518	0.000127	6071007408	3785
425	6071007500	0.038528	0.000081	6071007500	1309
426	6071007601	0.063479	0.000252	6071007601	6386
427	6071007602	0.140719	0.000873	6071007602	8252
428	6071007700	0.152061	0.000774	6071007700	0
429	6071007800	0.186475	0.001777	6071007800	4051
430	6071007901	0.173866	0.00118	6071007901	5164
431	6071007902	0.229042	0.001904	6071007902	8731
432	6071008001	0.096368	0.00048	6071008001	5645
433	6071008002	0.087497	0.00034	6071008002	7126
434	6071008100	0.075987	0.000179	6071008100	3239
435	6071008200	0.0678	0.000232	6071008200	4989
436	6071008301	0.105424	0.000398	6071008301	6655
437	6071008302	0.10565	0.000464	6071008302	3145
438	6071008401	0.128356	0.00076	6071008401	6330
439	6071008402	0.064287	0.000254	6071008402	6408
440	6071008403	0.102264	0.000514	6071008403	5571
441	6071008404	0.050184	0.000126	6071008404	3988
442	6071008500	0.278923	0.0026	6071008500	7623
443	6071008600	0.328111	0.004231	6071008600	8152
444	6071008703	0.410805	0.005846	6071008703	6496
