OBJECTID	tract	SHAPE_Length	SHAPE_Area	density	Tract_1	Population
176	6037139501	0.032555	0.000063	124862528	6037139501	7987
177	6037139502	0.054021	0.000104	27668416	6037139502	2887
178	6037139600	0.062725	0.000243	18636812	6037139600	4547
179	6037181000	0.118964	0.000403	15183290	6037181000	6134
180	6037181300	0.067565	0.000144	26094926	6037181300	3771
181	6037181400	0.045797	0.000085	51781708	6037181400	4439
182	6037181500	0.05378	0.000105	36794744	6037181500	3891
183	6037181600	0.056208	0.000154	36673180	6037181600	5662
184	6037183101	0.050877	0.000095	41874836	6037183101	3998
185	6037183102	0.054222	0.000132	46175080	6037183102	6132
186	6037183210	0.058333	0.000121	46797436	6037183210	5663
187	6037183220	0.040463	0.000052	83232224	6037183220	4363
188	6037183300	0.037466	0.000085	57258112	6037183300	4897
189	6037183400	0.040846	0.000073	56122172	6037183400	4127
190	6037183510	0.032402	0.00005	57878456	6037183510	2900
191	6037183520	0.028401	0.000041	98634536	6037183520	4138
192	6037183610	0.028621	0.000037	100551024	6037183610	3729
193	6037183620	0.028927	0.000049	66492948	6037183620	3316
194	6037183700	0.057367	0.000139	46029904	6037183700	6422
195	6037183810	0.031346	0.000044	103891984	6037183810	4582
196	6037183820	0.031326	0.00003	124715728	6037183820	3784
197	6037185100	0.073985	0.000223	27522566	6037185100	6159
198	6037185201	0.063325	0.000147	35918380	6037185201	5308
199	6037185202	0.050039	0.000115	33265100	6037185202	3827
200	6037185310	0.037179	0.000041	80574848	6037185310	3364
201	6037554515	0.049212	0.000117	31160850	6037554515	3669
202	6037554516	0.063346	0.000145	31031734	6037554516	4524
203	6037554517	0.049421	0.000128	38216372	6037554517	4924
204	6037554518	0.064465	0.000176	30206986	6037554518	5329
205	6037554519	0.060212	0.000171	21282074	6037554519	3649
206	6037554521	0.114549	0.000483	12701480	6037554521	6136
207	6037554522	0.063087	0.000208	25919520	6037554522	5413
208	6037554600	0.044062	0.0001	39648592	6037554600	3979
209	6037554700	0.043009	0.000077	62198268	6037554700	4812
210	6037554801	0.046718	0.000086	43489736	6037554801	3749
211	6037554802	0.061422	0.000151	39202628	6037554802	5945
212	6037554900	0.07933	0.00017	39275536	6037554900	6686
213	6037555001	0.05447	0.000128	43533772	6037555001	5587
214	6037555102	0.048767	0.000143	46076604	6037555102	6625
215	6037555103	0.04105	0.000096	50160980	6037555103	4850
216	6037570001	0.053153	0.000149	29772550	6037570001	4453
217	6037570002	0.035053	0.000077	33075040	6037570002	2554
218	6037570003	0.043676	0.000113	37483680	6037570003	4265
219	6037570100	0.045039	0.000112	24004280	6037570100	2706
220	6037570202	0.060874	0.000164	37738120	6037570202	6212
221	6037570203	0.04917	0.000126	31940218	6037570203	4052
222	6037570204	0.030047	0.000053	74964720	6037570204	3984
223	6037570301	0.053749	0.000114	59315816	6037570301	6790
224	6037570303	0.036126	0.00006	64122972	6037570303	3867
225	6037570304	0.041546	0.000054	88938056	6037570304	4824
226	6037570401	0.055808	0.00014	58734500	6037570401	8235
227	6037570402	0.063836	0.000153	22248552	6037570402	3410
228	6037570501	0.050254	0.000143	50582088	6037570501	7282
229	6037570502	0.06007	0.000196	32238210	6037570502	6338
230	6037570601	0.035525	0.000072	71026368	6037570601	5159
231	6037570602	0.041391	0.0001	63607424	6037570602	6382
232	6037570603	0.037313	0.000068	69556096	6037570603	4776
233	6037570701	0.064087	0.000171	38990040	6037570701	6705
234	6037570702	0.034349	0.000068	33778144	6037570702	2306
235	6037570800	0.061403	0.00023	23713878	6037570800	5464
236	6059099601	0.079328	0.000318	23039644	6059099601	7336
237	6059099602	0.04702	0.000129	24764110	6059099602	3211
238	6059099604	0.046551	0.000125	29805320	6059099604	3735
239	6059099605	0.064008	0.00019	19529458	6059099605	3723
240	6059099701	0.066607	0.00019	30568514	6059099701	5836
241	6059099702	0.066885	0.00019	43066532	6059099702	8206
242	6059099703	0.066787	0.000186	24768208	6059099703	4614
243	6059099801	0.062581	0.000144	38542332	6059099801	5564
244	6059099802	0.040596	0.000098	41346108	6059099802	4057
245	6059099803	0.049165	0.000126	42677644	6059099803	5381
246	6059099902	0.046544	0.000134	34572464	6059099902	4638
247	6059099903	0.048272	0.000135	41359372	6059099903	5608
248	6059099904	0.047233	0.00013	52178116	6059099904	6801
249	6059099905	0.061749	0.000103	31478170	6059099905	3272
250	6059099906	0.059248	0.000167	28667422	6059099906	4788
251	6059110001	0.045416	0.000116	38895956	6059110001	4546
252	6059110003	0.049772	0.000126	25142440	6059110003	3175
253	6059110004	0.06871	0.000175	26617874	6059110004	4661
254	6059110005	0.041964	0.000096	32759770	6059110005	3159
255	6059110006	0.048278	0.000128	22503180	6059110006	2898
256	6059110010	0.049929	0.000131	34891184	6059110010	4594
257	6059110011	0.049426	0.000126	21647178	6059110011	2748
258	6059110014	0.042025	0.000062	75325528	6059110014	4673
259	6059110015	0.12834	0.000709	4981751.5	6059110015	3536
260	6059110104	0.058947	0.000174	33034144	6059110104	5765
261	6059110106	0.04905	0.000077	46755472	6059110106	3611
262	6059110108	0.062765	0.000204	13525973	6059110108	2766
263	6059110109	0.04929	0.000126	36999132	6059110109	4680
264	6059110110	0.063947	0.00019	29958668	6059110110	5704
265	6059110111	0.07171	0.000216	24266284	6059110111	5265
266	6059110113	0.119175	0.00037	6573150	6059110113	2437
267	6059110114	0.066169	0.000149	32271828	6059110114	4837
268	6059110117	0.053224	0.000131	43549072	6059110117	5721
269	6059110118	0.031918	0.000063	44249508	6059110118	2791
270	6059110201	0.066948	0.000189	36975396	6059110201	7006
271	6065045107	0.116826	0.000473	11182366	6065045107	5292
272	6065045108	0.084623	0.000259	22511286	6065045108	5834
273	6065045109	0.047996	0.000141	26477106	6065045109	3756
274	6065045110	0.055389	0.000161	29416442	6065045110	4764
275	6065045111	0.202216	0.001362	4650652	6065045111	6338
276	6065045112	0.152997	0.000679	5133636.5	6065045112	3489
277	6065045113	0.93196	0.014417	230413.4688	6065045113	3322
278	6065045203	0.183626	0.001189	4418615	6065045203	5258
279	6065045204	0.104772	0.000549	10694214	6065045204	5876
280	6065045205	0.139261	0.00112	8112899	6065045205	9091
281	6065045206	0.635426	0.013552	727895.1875	6065045206	9865
282	6065045207	0.060075	0.000195	22730156	6065045207	4452
283	6065045208	0.132318	0.000645	6971512.5	6065045208	4503
